Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Narvarte;2;1;0;110;6650.0;2450.0;483.0
Narvarte;2;1;0;78;7000.0;2450.0;0.0
Roma;2;1;0;76;8750.0;2590.0;0.0
Santa Fe;3;1;1;72;8225.0;2100.0;245.0
Santa Fe;3;2;1;104;9100.0;4774.0;1421.0
Santa Fe;2;1;1;88;9450.0;4550.0;7147.0
Santa Fe;3;2;2;85;8750.0;4900.0;665.0
Santa Fe;2;1;1;78;9625.0;4550.0;483.0
Narvarte;2;1;0;80;6300.0;3850.0;294.0
Narvarte;3;1;0;172;9450.0;2730.0;595.0
Roma;2;1;1;83;9800.0;1960.0;483.0
Juárez;2;0;0;77;8400.0;3955.0;490.0
Ciudad de los Deportes;2;0;0;80;3150.0;1225.0;0.0
Santa Fe;2;1;1;72;9100.0;5950.0;829.5
Narvarte;3;0;0;87;5600.0;2275.0;350.0
Santa Fe;3;1;2;93;8750.0;3850.0;0.0
Nueva Santa María;2;2;0;78;2800.0;3202.5;192.5
Santa Fe;2;1;1;85;8750.0;5505.5;689.5
Narvarte;3;1;1;78;8750.0;2555.0;623.0
Santa Fe;2;1;1;83;7000.0;5418.0;910.0
Santa Fe;3;1;1;84;6650.0;3860.5;742.0
Narvarte;3;0;0;75;6300.0;1225.0;0.0
Narvarte;2;1;1;71;5250.0;2100.0;0.0
Santa Fe;2;1;1;81;6650.0;4200.0;423.5
Del Valle;3;1;1;90;8400.0;4588.5;0.0
Narvarte;3;1;0;129;6300.0;2975.0;406.0
Santa Fe;3;1;1;105;8750.0;4900.0;5250.0
San Ángel;3;0;1;120;9450.0;3080.0;833.0
Santa Fe;2;1;1;77;8750.0;2905.0;546.0
Santa Fe;2;1;1;75;4900.0;4480.0;0.0
Condesa;2;1;1;81;10150.0;3125.5;665.0
Ciudad de los Deportes;3;0;0;90;3150.0;1155.0;52.5
San Miguel Chapultepec;3;3;1;124;5950.0;4900.0;0.0
Mixcoac;3;1;1;73;4200.0;1820.0;0.0
Del Valle;2;0;0;110;8750.0;3388.0;584.5
Condesa;3;0;0;80;8750.0;2800.0;549.5
Bosques de las Lomas;2;1;1;80;7700.0;9100.0;1470.0
Narvarte;3;1;0;88;8050.0;2765.0;3097.5
Narvarte;3;1;0;116;7000.0;2765.0;679.0
San Miguel Chapultepec;3;0;0;82;4200.0;2324.0;301.0
Roma;2;0;0;115;7700.0;3657.5;665.0
Condesa;2;1;0;74;9100.0;3573.5;0.0
San Pedro de los Pinos;2;1;0;75;10150.0;3241.0;315.0
Del Valle;2;0;0;85;7350.0;2450.0;332.5
Santa Fe;2;1;1;88;8400.0;4595.5;0.0
Condesa;2;0;0;110;9800.0;2800.0;420.0
Bosques de las Lomas;2;1;1;90;9450.0;4725.0;875.0
San Pedro de los Pinos;3;1;0;95;8050.0;4550.0;420.0
Santa Fe;2;1;0;90;7000.0;3430.0;5600.0
